Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
10,10,frère,brother
11,12,car,because
12,13,mettre,to put
13,14,laisse,leash
14,15,ville,city
15,16,chaque,each
16,17,parlé,speak
17,18,devrait,should
18,19,bébé,baby
19,20,longtemps,long time
20,21,vont,will
21,22,pendant,while
22,23,revoir,meet again
23,24,aucune,any
24,25,place,square
25,26,parle,speak
26,27,compris,understood
27,28,attention,Warning
28,29,voici,here is
29,30,pourrais,could
30,31,affaire,case
31,32,donner,give
32,33,type,type
33,34,leurs,their
34,35,donné,given
35,36,train,train
36,37,endroit,place
37,38,yeux,eyes
38,39,façon,way
39,40,écoute,listen
40,41,premier,first
41,42,perdu,lost
42,43,main,hand
43,44,première,first
44,45,côté,side
45,46,sois,be
46,47,tiens,here
47,48,matin,morning
48,49,tellement,so much
49,51,venu,came
50,52,suite,after
51,53,pardon,sorry
52,54,venez,come
53,55,vers,towards
54,56,minutes,minutes
55,57,demandé,request
56,58,chambre,bedroom
57,60,droit,law
58,61,aimerais,would like to
59,62,aujourd'hui,today
60,63,mari,husband
61,64,cause,cause
62,65,enfin,finally
63,66,attendez,Wait
64,67,parti,left
65,68,boulot,job
66,69,arrêter,Stop
67,70,dirait,would say
68,71,terre,Earth
69,72,compte,account
70,73,donne,given
71,74,loin,far
72,76,gros,large
73,77,plutôt,rather
74,78,aura,will have
75,79,filles,girls
76,81,bureau,office
